strength_of_noise,iteration,Method,avg_independent_features_statistics,min_independent_features_statistics,max_independent_features_statistics,avg_dependent_features_statistics,min_dependent_features_statistics,max_dependent_features_statistics,top3_selected_features,independent_vs_dependent_avg_statistics_diff_%
0.01,16,Distance_Correlation,0.017734865118787916,0.013573644444093143,0.02744384486275774,0.17381224017853622,0.016732852703097798,0.48543596435250197,"[2, 4, 5, 8, 9]",880.06
0.01,16,Proposed_Method,0.08776145882899766,0.08694988965251715,0.08855829804514136,0.12855659606567216,0.1251589223880826,0.13253890283829292,"[7, 8, 9]",46.48
0.01,17,Pearson_Correlation_(abs),0.007443955117310787,0.00048136237468876953,0.020152014085421523,0.16687657350826612,0.00028534288719473706,0.49700511467379493,"[1, 2, 4, 7, 8, 9]",2141.77
0.01,17,Mutual_Information,0.0026076604800357793,0.0,0.023328984127071628,0.5500234711191844,0.0,1.650070413357553,"[1, 2, 4, 8, 9]",20992.6
0.01,17,Distance_Correlation,0.016894259637177295,0.011612321558802194,0.027701939015261662,0.1754786962468905,0.014625815448760763,0.4963809889179593,"[1, 2, 4, 7, 8, 9]",938.69
0.01,17,Proposed_Method,0.08583273410870383,0.08475494171748094,0.08645370364802923,0.1330569537463577,0.1282612938297468,0.13737490194818283,"[7, 8, 9]",55.02
0.01,18,Pearson_Correlation_(abs),0.00824821075125629,9.577224030850579e-05,0.02699254797411063,0.17247701458244882,0.00845254689348992,0.4948586848559337,"[1, 6, 7, 8, 9]",1991.08
0.01,18,Mutual_Information,0.003518244790427235,0.0,0.02567292233838181,0.5629795181432004,0.0,1.6889385544296012,"[0, 3, 5, 6, 8, 9]",15901.72
0.01,18,Distance_Correlation,0.017527499166269847,0.013290271898092369,0.024729494728307426,0.17917752378064236,0.017313861373861497,0.501190148826077,"[0, 3, 6, 8, 9]",922.27
0.01,18,Proposed_Method,0.08481362195416987,0.08401033431468777,0.08563285291827631,0.13543488210693697,0.13017750098839997,0.14531532095260422,"[7, 8, 9]",59.69
0.01,19,Pearson_Correlation_(abs),0.007270250317399269,0.0002127625927731262,0.017951841057648594,0.1708924122676867,0.0021201625948161175,0.4957028225659502,"[2, 5, 7, 8, 9]",2250.57
0.01,19,Mutual_Information,0.003009453035613719,0.0,0.02094976746078192,0.5715548730149355,0.0,1.714160666345534,"[2, 3, 4, 8, 9]",18891.99
0.01,19,Distance_Correlation,0.01712338380803602,0.011896226361757608,0.02604323781198607,0.17860433365760545,0.014905078962492699,0.5017469372221279,"[0, 3, 7, 8, 9]",943.04
0.01,19,Proposed_Method,0.08107442220758179,0.0798399827259357,0.08175076023713757,0.14415968151564248,0.13837944235116398,0.1506125800475524,"[7, 8, 9]",77.81
